N°,Fecha,Lugar,Actor o grupo social emisor,Institución y Cargo actor o grupo social emisor,Actor o grupo social Involucrado 1,Institución y Cargo actor o grupo social involucrado 1,Acontecimiento,Posición,Área,"Studio 5 – Studio 5 Noticias – Rubén Valdés Alvarado, Paola Reynaga (97.7)",Ondas del Huallaga – Noticiero Ondas del Huallaga - José Carlos Ponce de León(88.9),"Radio Noticias del Perú – Radio Noticias Huánuco Edición Central – Bequer Bejarano, Nuvith Condezo Celis, Juan Malpartida (102.5)","Primer Plano - RNP - Ítalo Guillermo, Silvia Salas (102.5)",Radio Nacional – Cuatro Suyos – Ronald Cáceres / Manuel Bejarano (100.9),Radio Sinaí - Opinión Libre - Jaime Herrera  Echevarria (90.1),Radio Rumba Perú - RTL Noticias - Koko Giles/ Juan Manuel (95.3),Radio Pulsar - El Informante - Miguel Angel Domínguez (100.5),Radio Llata - Punto de Encuentro - Carlos Chavez Firma(92.3),Radio Paraiso 96.9 - Aires de Tradición Andina - Hector Facundo Damazo,Panorama Cultural Oyonense - Maximo Samaniego - Radio Oyon (102.5),Noticiero Musical - Hector Facundo Damazo - Radio Sol - Oyon,Radio La Altura 7-9am,Radio UNHEVAL – Noticiero (96.1)
1,2022-06-01,Ayacucho,Periodista,,,,"Comentó que por falta de garantías por parte de la prefectura suspendieron serenata por el aniversario del distrito de Amarilis, pese a ello se desarrollará un pasacalle este miércoles por la plaza de Paucarbamba.",Gris,Sociedad,1.0,1.0,1.0,,,1.0,1,,,,,,,1.0
2,2022-06-01,Ayacucho,Periodista,,María Tarazona,Viceministra de Políticas y Evaluación del Ministerio de Desarrollo e Inclusión Social,"Informó que María Tarazona, viceministra de Políticas y Evaluación del Ministerio de Desarrollo e Inclusión Social, se les cuestiona por más de 400 llamadas al celular del presidente.",Gris,Corrupción,,1.0,1.0,,,1.0,1,,,,,,,1.0
3,2022-06-01,Ayacucho,Periodista,,Luis Alberto Juipa Peña,Exalcalde del distrito de Rondos,"Informó que fue detenido exalcalde del distrito de Rondos, Luis Alberto Juipa Peña, procesado por presuntos actos de corrupción.",Gris,Corrupción,1.0,1.0,1.0,,,1.0,1,,,,,,,
4,2022-06-01,Ayacucho,Periodista,,Roberto Teófilo Villarreal,Director de la UGEL Dos de mayo,"Comentó que el director de la UGEL de la provincia Dos de mayo, Roberto Teófilo Villarreal, ya se hizo presente en el local donde fue recibido por la planta docente.",Gris,Educación,1.0,1.0,,,,,,,,,,,,
5,2022-06-01,Ayacucho,Jhon José Nalvarte Loya,Director de la Oficina Regional de Gestión en Conflictos Sociales del Gobierno Regional de Huánuco,Gobierno Regional de Huánuco,,"Comentó que varios de las situaciones de conflicto ocurridos en la región ocurrieron principalmente por las acciones del Gobierno Regional de Huánuco. Indicó que actualmente se está solucionando las demandas del colegio Hermilio Valdizán el cual realizó un plantó el 9 de mayo, que motivó al desarrollo de una mesa de diálogo.",Gris,Gobierno Regional,,1.0,,,,,,,,,,,,
6,2022-06-01,Ayacucho,Periodista,,,,"Comentó que se efectuó el despido masivo de trabajadores CAS del Hospital Regional Hermilio Valdizán, son 288 los trabajadores que se les sacó del registro de asistencia y sus roles a través de un comunicado, de manera arbitraria, sin comunicar al personal, encima no reciben su sueldo ni adenda.",Gris,Trabajo,,,,,,1.0,,,,,,,,
7,2022-06-01,Ayacucho,Periodista,,,,"Mencionó que un incendio forestal se produjo en la provincia de Pachitea, donde el fuego arrasó gran cantidad de hectáreas.",Gris,Medioambiente,,,,,,1.0,1,,,,,,,
8,2022-06-01,Ayacucho,Periodista,,,,"Indicó que, en Huánuco, en lo que va del año 4 personas perdieron la vida a causa del dengue, comunicó la dirección de epidemiología.",Gris,Salud,,,,,,1.0,1,,,,,,,
9,2022-06-01,Ayacucho,Periodista,,,,"Indicó que están llegando mineros informales a Paucarcito, provincia de Puerto Inca, procedentes de Madre de Dios, por lo que preguntó dónde está la fiscalía de medioambiente y atiendan este caso que afecta a los terrenos de las comunidades nativas del lugar, gracias a 3 dirigentes que venden terrenos donde hay oro. ",Celeste,Minería ilegal,,,,,,1.0,,,,,,,,
10,2022-06-01,Ayacucho,José Ángel Mendoza,Director regional de Energía y Minas,,,"Comentó que acaba de llegar de una reunión con funcionarios de Ucayali en la provincia de Puerto Inca, y que es cierto lo manifestado por el periodista (sobre minería informal en dicha provincia), que ha venido gente de Madre de Dios, Puerto Maldonado, de Piura, Cusco, entre otros, todos a Puerto Inca. Mencionó que la solución a este problema ya la expuso: se anulará cualquier REINFO o inscripción que quiera trabajar en Puerto Inca, y que ya dio la orden para que se anule todas las concesiones otorgadas el año pasado, durante su ausencia. Indicó que en Paucarcito hay personas ilegales, y le informó al jefe comunero de la zona que lo que estaba mal lo que se hacía. Mencionó que ya mandó un documento a la policía especializada en materia ambiental de Lima para que haga una intervención, y esta permita quemar o retirar la maquinaria en el lugar.",Celeste,Minería ilegal,,,,,,1.0,,,,,,,,
